Sentiment,SentimentText
1,This Hard Rock is as good as any other Hard Rock. Staff were friendly. Food was a bit too spicy for our tastes but good. Prices as expected not over the top.
1,Visited here with my son whilst on a break for his birthday. Prices reasonable compared to some NY prices and service was extremely good. We booked in advance so we did not have to wait. Thoroughly enjoyed. Nachos were fab.
1,I have visited a few Hard Rocks before and not too impressed but this one was very good. Some great memorabilia on display then good food and great service. Enjoyable.
1,We spent a nice family/birthday dinner at Hard Rock. Very nice service and the food delivered at the expected level. No surprises good or bad. Good atmosphere.
1,After a big disappointment in another restaurant I opted for the safe bet for a late lunch and were not disappointed. Food was great. Service prompt and attentive ambience fantastic. A pleasant surprise in time square
1,"Booked a meal in June ,live band great food great service.Great Hard Rock smack bang in Times Square."
1,"Went in for a quick breskfast, realised it was a buffet.. bonus. Pretty good food for a very limited small sized buffet. great atmosphere. excellent service."
1,very friendly staff and food is excellent. Combined with the items from Rock'n Roll history exhibited made the experience a very good one.
1,"After having lunch at the Hard Rock Cafe, we also ended up at the HRC for dinner (couldn’t find an alternative around 11pm). The food, drinks and service is super. So much better than my last visit in the HRC in Brussels."
1,Had booked before we travelled and only waited for 5 minutes to be seated. Our waitress was attentive and happy to talk and take our photos. Food was average to me but had very nice cocktail.
1,"I love the burgers in Hard Rock, the only one thing I don’t like is to eat healthy I had to pay an additional $3.50 to swap out my fries for a salad wanting to eat a healthier option should not be an additional cost."
1,Came here for our last meal before flying back to the u.k.It's a fantastic place if you are into music and memorabilia it might be a little pricey for what you get but for a one off visit it can't be beaten.
1,Really enjoyable meal! We had heard the quality could be hit or miss but couldn’t fault the food! Really recommend booking in advance (we did this the morning we were planning on going) as the wait times can be long!!
1,Family visit when it was not busy and the service was good. The food was expensive but of a high quality. It remains my childrens' favourite meal of the NYC holiday
1,"Hard Rock Cafe was everything I expected it to be. The food was tasty, staff friendly and they provided a good service. Certainly worth checking out if you're in the area."
1,This is the best Hard Rock I have been to and I have visited many around the world. The dining area is very large and staff are super friendly. You need to expect a busy restaurant with a hoard of tourists.
1,A very nice Hard Rock Cafe location. The food and service was great. Aways like to visit Hard Rock when I can.
1,Go for late lunch/early dinner. No wait at all. You will get your photo taken upon arrival so be prepared if you want to do a cool rockstar pose.
1,"Had to try it out whilst in USA, I would reccomend didnt manage to see any music / band whilst in here, how ever for was tastey seems to be the going rate for priced food locally worth a visit"
1,"Had a fab meal here, good food as always and exceptional service from our server Shaun. Kids loved it"
1,"Went there a long time ago, love their nachos, it was a bit busy and took a while to be served but liked it anyway!"
1,"We booked to come here for lunch. The service was very good and friendly. The food was recieved pretty quickly. The food quality was very good, the meals were cooked to order and we were quite happy."
1,"Right in the centre of Times Square Had a 10 minute wait as tables were busy. Usual hard rock menu, burgers etc Felt a little rushed but food was good"
1,"Had post dinner drinks at HRC, and it is vibrant. Drinks are relatively cheap compared to the restaurants in NYC. Good place to hang out & chill."
1,"great place, staff friendly and efficient and the food is excellent, Brilliant atmosphere. We had a photo taken which if you want is added to the bill and it was still cheaper than other places we had eaten - great"
1,"It's New York, it's the Hard Rock Cafe, it;'s bold, brash, loud and what most of the customers want it to be. Food is average but that's not what they come for, the experience, the rush is all there - rock on!"
1,"We didn't eat here, but the vibe is cool, decor is great with so much nostalgia. Sat in the bar and it is loud, but hey, it is NYC!"
1,First morning in NYC we decided to go here for breakfast. Food was nice. A little expensive & service was slow but the staff were friendly & helpful. Good pancakes!
1,If you've been to one Hard Rock Café then you now the menu. This one is pretty big and serves up the same food. Enjoyed our visits.
1,Arrived around 10:30pm after a full day at niagra falls. We were seated immediately and had wonderful service throughout. We ordered a burger meal between us as portions are large. Food was fabulous as ever
1,A fun place to visit. Lots of cool memorabilia and great music. The portions are big. The nachos were great. Friendly service. Quite expensive but it is Times Square after all.
1,"Food was really good, server was awesome. For Nashville it was kind of bland and weird. Not a ton of stuff on the walls. The music video TVs where kind of annoying"
1,"Really enjoyed Hard Rock cafe New York. Food and drinks were reasonably priced in comparison to other similar restaurants on New York. Food was a good quality, yummy burger! Kids menus were great and service was good too. Would definately recommend."
1,You need to see this one. You have to see this once because you love rock or because you want to look inside. Original object and photos can be seen on the walls about lengendary musicians.
1,Hard Rock is right in Times Square. The staff is nice. Food was average/acceptable/expensive as expected. the Hard Rock store of souvenirs in right inside.
1,"Dropped in here after a days sight-seeing. Had food and a few drinks at the bar because it was busy. Similar to other HR's I've been to, didn't disappoint."
1,"Long wait for table so ordered at the bar. Chicken Caesar salad was delish with plenty of chicken. Two pulled pork burgers were fab, couldn't finish them. Drinks were nice and cold, perfect. Prices are typical NYC."
1,"Burgers and music, that's what you want from Hard Rock Cafe. Both meat and vegetarian burgers were exquisite. Place can get crowded but it is not that noticeable when you are having a good time."
1,We took our kids here on a school trip to NYC. They were really taken in by the memorabilia. The service and food is quite good. The staff is efficient and all 50 of us were served without much delay.
1,Usual hard rock cafe. They had a veggie burger which i'd not seen elsewhere before. Food was pretty good.
1,"This a great place for dinner, food was really good and the restaurant itself is very impressive, fantastic atmosphere and perfect for families"
1,"Reasonably priced, waiter very pleasant. Food came really fast- no time in between courses.Try the Jumbo Combo dessert- delicious!!!"
1,"Great place to take teenagers with excellent mixed music and a bit of theatre. Family friendly food but personally disappointed that there wasn't a vegan choice, not even soya or almond milk for a coffee. Average service with a higher than average price tag."
1,"Just like Planet Hollywood, overrated and overpriced. Can't go wrong with wings and burgers. The memorabilia is very cool."
1,"Good food, great service, competitive prices for similar restaurants. We jumped the queue as I had an online reservation booked. Worth a visit! My second visit in 18 months!"
1,"Service and experience were fun! Worth the visit. Food was just okay, but that is to be expected when ordering from the ""large group"" menu. I would go again."
1,"Big group, limited menu. Our water was awesome and worked his butt off. Chad? The food was good and the cookies were saved for later. Thanks for dinner!"
1,Went with my two guy friends! We were seated right away and the food was fantastic. I had an amazing pulled pork sandwich!
1,"Traditional bar and a must see. I liked the environment, with many objects of singers and consecrated bands. Worth going to. Bar tradicional e imperdível. Gostei do ambiente, com inúmeros objetos de cantores e bandas consagradas. Vale a pena ir."
1,"Drinks were great! Food was delicious! Our server was amazing! However, they couldn’t get their act together to sit us!! Plenty of tables around and we just got shuffled around until we ended at the bar; had to have our dinner standing up."
1,First experience of a Hard Rock Cafe. Good choice of food and drink and service was efficient. Would definitely visit again in the future. Enjoyable visit!
1,"Good food and good service late at night (we arrived at around 11:00 p.m cold, tired and hungry. A bit pricey for a burger but hey, we were on holiday."
1,"We had a Legend burger, Fajitas and cocktails all very nice and all the staff very friendly be prepared to wait for a table as can be manic but worth it."
1,"Visited HRC with my daughter a few times during week stay in NY. Food was all right. Service was great.The music, as in most hard rock café's throughout the world was great."
1,"We entered and at first we didn't understand which way to go, but once we figured that out, we met a good server/ bar tender. He made us great cocktails, good quantity. Portions of food was also good! Great music and amazing decor"
1,Good food and friendly service but overpriced. The place is very dark too. Overall though it is one of these places where one needs to go when in NYC.
1,Yes I said the joke of my title when I was there. Yes it made me laugh...Anywho I always enjoy the Hard Rock and places like this. You know what your getting when you eat here. Music and atmosphere was allot of fun as well.
1,"Standard Hard Rock Cafe. Good food and good service you'd expect. Restaurant and menu very good, service friendly and attentive. Rock memorabilia here probably better then most. Recommend as a reliable restaurant but nothing out of the world."
1,30 Minutes waiting time and as every time - super service very good cocktails and delicious burger (original legendary burger) We‘ll be back next time :-)
1,"Coffee or drinks in bar really good. Souvenirs are a must. I love this place, so much when in twice."
1,"Arrived late and this restaurant was close to our hotel. Food was good, our server was incredible giving us numerous ideas on how to tackle NYC."
1,"Hard Rock cafe, beautiful building in a best The hard Rock cafe is more attractive for the outside visiters because such a beautiful place is that., best and tasty dishes, we all like the"
1,"Never my 1st choice, however after the hockey at the Gardens, and a few beers in, this was open so we went in. Really cannot complain at all. 4 Burgers all cooked well to order. Good fries, good service, decent beer and reasonable price."
1,It was not very crowded when we went for lunch and we were seated promptly. The service was quick and efficient and the food was good as expected. Nothing extraordinary.
1,"High quality service. Food was as expected - plain but reliable. Wonderful to look at the wealth of memorabilia around the restaurant, but uncomfortable at times due to the location of tables with diners seated."
1,Hard rock is standard usually from one city to another. Food was average but good. Great place but was super busy. Ask for a table n at the bar instead of waiting for some time for a table!
1,Good as usual. Great fajitas and salads. Friendly staff. The nicest Hard Rock in the heart of Times Square. Amazing memorabilia. Oreo cheesecake not to miss!
1,"While walking around Times Square and in the mood for some food, stop by the Hard Rock and have a good burger surrounded with music and memorabilia."
1,"Good choice of freshly cooked food plus fresh French toast, waffles or pancakes brought to your table. Selection of pastries too. Mimosa was a nice touch to set us up for the day."
1,Ate here with a school group. Waited a little while to be seated but were quickly served. We chose burgers and chicken fillet burgers. All were good and went down well. Staff efficient and friendly. Noisy and busy. Think choices good.
1,What dan I say it’s the hard rock and had to get my 31st different shooter! Great either brick drinks and a fabulous atmosphere. #loveallserveall
1,We tried the New York Strip which was beautifully cooked. The staff were friendly and very helpful. The decor was the usual memorabilia you expect at HRC. Good quality food and overall experience.
1,"Great place with a lot of memorabilia, Always seem to be crowded at Dinner time. Great food & drinks. Good portions."
1,While in NYC we stopped by the Hard Rock Cafe Gift store in Times Square. The employees were very helpful and nice. Got a cool shirt for my collection of Hard Rock t shirts.
1,"This cafe is smack bang in the middle of Times Square and you know that your going to get great food. They did not disappoint, great atmosphere and a legendary burger to die for!"
1,We have been to many Hard Rock Cafes but this is the biggest by far. We had a nice meal and I was surprised by how good it was. The server was very good also.
1,Enjoyed lunch at Hard Rock Cafe. Good food and fast service. This location has an excellent store for shopping.
1,What?! It's The HardRock! Get a burger and onion rings (done perfectly). Delish! Friendly wait staff - good tunes. Cool Rock - n - Roll Artifacts. Plan at least one meal here.
1,"Great lunch, great food, service was great. Atmosphere was also perfect, this is a must visit when in New York!"
1,"Having visited numerous Hard Rocks over Europe and America, I can easily say that the New York Hard Rock beats all I have been too. The staff are all polite and treat every customer with respect. I would highly recommend visiting while in New York."
1,Lots of cool music memorabilia throughout the restaurant. Meal and drinks were good. Ordered a couple of their signature drinks with the souvenir glasses.
1,"We had Christmas dinner here last year - kid's choice - and it was very good. Luckily we had booked as there were long queues of people trying to get in. Great service, lovely food and all enjoyed the experience. Would recommend."
1,Totally enjoyed the place with its great food....great prices and great location in N Y .. Staff were attentive and food God quality. We found it a great stop off as we walked around times square and did the big bus thing for the day.
1,"Consistent HRC menu, prep. Great location. Staff nice, attentive. Don't be in a rush if want to wonder/browse the displays."
1,No line to get a table about 2pm. Tables were full when we left tho. Food was ok. Really went for the atmosphere. Music. Videos. Memorabilia. Kids liked the shop.
1,"We do like a Hard Rock and the one in Times Sq is probably the best we have eaten in. Both food and service was good, just not quite excellent."
1,We visit hard rock in whichever city we go. Love the atmosphere and food. Although a little pricey we totally think it's worth it. For a relaxed and fun atmosphere it's definitely a place to go!
1,"Busy place, but good service from Janette, whom we discussed antiques with. Nice food and good memorbilla that covers the walls. Drinks were reasonable, it warmed us from the snow."
1,"We had a long wait and there was quite a crowd inside the restaurant. The wait staff was very busy and had a difficult time keeping up with customers, making several small mistakes. The food was average and prices high."
1,This place has amazing scenery. The food though was a little bit below expectations. I had ribs and they were overcooked.
1,the food is good and helpings are large at Hard Rock cafe. We go to hard rock cafes of every city that we can and we were not disappointed. Would recommend it highly.
1,The decor and music memorabilia is truly spectacular. The music and atmosphere is very festive. Food is not bad for bar food but wait staff not great. Fun place and nice to see...
1,"What can you expect in the middle of New York. So many people around… The food was ok, hard rock atmosphere and music …"
1,"We had dinner in a big group of 5 adults and 6 children. We all had fun enjoying the food , the music , videos and details of this Restaurant. The location is also great in times square"
1,"Food and drinks are about the same as in any other Hard Rock. Pretty good, nothing revolutionary. Quite expensive. Staff are friendly and full of energy."
1,"Good food good at,osphere with live bands Don't have to wait can go to the bar tables and get served straight away. Food is reasonably priced with attentive staff ."
1,"Great location for meeting people in the middle of city. Not a quiet setting, but great for having a few drinks"
1,"We have come here many times and enjoy it. It has a good atmosphere and right in the center of Times Square. The food will not disappoint. The restaurant is clean and comfortable. The wait staff has always been good, never had any issues."
1,"This is a beautiful Place , the food is excellent and the atmosphere is Cool too. I suggest this restaurant, is so cool( full of important Guitars)"
1,"Love to go to the different Hard Rock's around the country. They all have different stuff in them. The food is ok, the service is also ok, depending on when you go, it's pretty busy. I like going and will go back soon!"
1,We went after going to a show. We got appetizers and drinks. Both were very good. we sat at the bar and the service was very good.
1,Food is good and service as well.The drinks were tasty.Would like to see more variety in the gift shop.I do go to Hard Rock in any city I'm in where there is a Hard Rock.
1,"We eat here just about every time we visit New York City and need a comfort food fix. Love the nachos, buffalo wings, burgers and strawberry basil lemonade! And for desert, the fudge brownie ice cream Sunday is a must!"
1,"Visited during New York trip. Tasty food, especially the burgers, great service and superb location. Lots of memorabilia for fans to look at. Worth a visit."
1,"Really quick and friendly service, we had the Texan pulled pork burger. It was very tasty! Because it's so good and famous, you have to plan the wait!"
1,Ideally located in downtown Manhattan with the typical food and other stuff that you usually except at HRC.
1,The atmosphere of this place is amazing with all the memorabilia from rock bands. The bar is very nice and wings are great
1,"My husband and I always have at least one Hard Rock Cafe meal whilst travelling overseas. Times Square did not disappoint, with meals reasonably priced and value for money."
1,This was the first place we ate in NYC and it didn't disappoint. Good portions were good and the drinks even better. Great atmosphere and friendly staff. Live act going on in the back ground too.
1,Always fun atmosphere when dining at a Hard Rock Cafe. Food was good and service was good. Love the music and videos playing all over the restaurant.
1,service was very good as expected from a hard rock cafe staff very friendly and helpful food cooked to order this time the music was not to loud so you could still have conversation with your dinner company
1,"Probably one of the biggest Hard Rock Cafe's I've visited around the world. Very busy and seemed extremely popular. Service was very good. Food was the usual standards, nothing special."
1,"The place itself was fantastic. Crazy music memorabilia on display (Jim Morrison, Jimi Hendrix, U2, The Beatles etc). The merchandise was priced reasonably. The food was tasty but very fatty. Emphasis on tasty though. Fine service. Would do again."
1,The restaurant is very well located at Times Square - Broadway. Very good food and drinks. The staff is very well trained. We spent very good time there with nice music and fun.
1,"Food very tasty, service excellent, background music made for a very pleasant evening with friends. We were able to shop upstairs for suveniers. Not the cheapest night with the cocktails but they were good."
1,"Excellent visit to Hard Rock Cafe with very good food, great service and surroundings as expected. Fajitas were excellent as were the burgers and steak. Well worth a visit!!"
1,"Good place to take the family for lunch when visiting. Kids (of all ages) enjoy the R&R memorabilia. The service is good so you can get back to afternoon activities soon, after a nice break with good food."
1,The big screen videos are awesome. The staff is very friendly and helpful on tips in the big city. The food was great as well as the drinks. Very nice bar area.
1,"great place, staff friendly and efficient and the food is excellent, Brilliant atmosphere. We had a photo taken which if you want is added to the bill and it was still cheaper than other places we had eaten - great"
1,"It's New York, it's the Hard Rock Cafe, it;'s bold, brash, loud and what most of the customers want it to be. Food is average but that's not what they come for, the experience, the rush is all there - rock on!"
1,"We didn't eat here, but the vibe is cool, decor is great with so much nostalgia. Sat in the bar and it is loud, but hey, it is NYC!"
1,First morning in NYC we decided to go here for breakfast. Food was nice. A little expensive & service was slow but the staff were friendly & helpful. Good pancakes!
1,If you've been to one Hard Rock Café then you now the menu. This one is pretty big and serves up the same food. Enjoyed our visits.
1,Arrived around 10:30pm after a full day at niagra falls. We were seated immediately and had wonderful service throughout. We ordered a burger meal between us as portions are large. Food was fabulous as ever
1,"Food was really good, server was awesome. For Nashville it was kind of bland and weird. Not a ton of stuff on the walls. The music video TVs where kind of annoying"
1,"Really enjoyed Hard Rock cafe New York. Food and drinks were reasonably priced in comparison to other similar restaurants on New York. Food was a good quality, yummy burger! Kids menus were great and service was good too. Would definately recommend."
1,You need to see this one. You have to see this once because you love rock or because you want to look inside. Original object and photos can be seen on the walls about lengendary musicians.
1,Hard Rock is right in Times Square. The staff is nice. Food was average/acceptable/expensive as expected. the Hard Rock store of souvenirs in right inside.
1,"Dropped in here after a days sight-seeing. Had food and a few drinks at the bar because it was busy. Similar to other HR's I've been to, didn't disappoint."
1,"Long wait for table so ordered at the bar. Chicken Caesar salad was delish with plenty of chicken. Two pulled pork burgers were fab, couldn't finish them. Drinks were nice and cold, perfect. Prices are typical NYC."
1,"Burgers and music, that's what you want from Hard Rock Cafe. Both meat and vegetarian burgers were exquisite. Place can get crowded but it is not that noticeable when you are having a good time."
1,We took our kids here on a school trip to NYC. They were really taken in by the memorabilia. The service and food is quite good. The staff is efficient and all 50 of us were served without much delay.
1,Usual hard rock cafe. They had a veggie burger which i'd not seen elsewhere before. Food was pretty good.
1,"This a great place for dinner, food was really good and the restaurant itself is very impressive, fantastic atmosphere and perfect for families"
1,"Reasonably priced, waiter very pleasant. Food came really fast- no time in between courses.Try the Jumbo Combo dessert- delicious!!!"
1,"Great place to take teenagers with excellent mixed music and a bit of theatre. Family friendly food but personally disappointed that there wasn't a vegan choice, not even soya or almond milk for a coffee. Average service with a higher than average price tag."
1,"Just like Planet Hollywood, overrated and overpriced. Can't go wrong with wings and burgers. The memorabilia is very cool."
1,"Good food, great service, competitive prices for similar restaurants. We jumped the queue as I had an online reservation booked. Worth a visit! My second visit in 18 months!"
1,"Service and experience were fun! Worth the visit. Food was just okay, but that is to be expected when ordering from the ""large group"" menu. I would go again."
1,"Big group, limited menu. Our water was awesome and worked his butt off. Chad? The food was good and the cookies were saved for later. Thanks for dinner!"
1,Went with my two guy friends! We were seated right away and the food was fantastic. I had an amazing pulled pork sandwich!
1,"Traditional bar and a must see. I liked the environment, with many objects of singers and consecrated bands. Worth going to. Bar tradicional e imperdível. Gostei do ambiente, com inúmeros objetos de cantores e bandas consagradas. Vale a pena ir."
1,"Drinks were great! Food was delicious! Our server was amazing! However, they couldn’t get their act together to sit us!! Plenty of tables around and we just got shuffled around until we ended at the bar; had to have our dinner standing up."
1,First experience of a Hard Rock Cafe. Good choice of food and drink and service was efficient. Would definitely visit again in the future. Enjoyable visit!
1,"Good food and good service late at night (we arrived at around 11:00 p.m cold, tired and hungry. A bit pricey for a burger but hey, we were on holiday."
1,"We had a Legend burger, Fajitas and cocktails all very nice and all the staff very friendly be prepared to wait for a table as can be manic but worth it."
1,"Visited HRC with my daughter a few times during week stay in NY. Food was all right. Service was great.The music, as in most hard rock café's throughout the world was great."
1,"We entered and at first we didn't understand which way to go, but once we figured that out, we met a good server/ bar tender. He made us great cocktails, good quantity. Portions of food was also good! Great music and amazing decor"
1,Good food and friendly service but overpriced. The place is very dark too. Overall though it is one of these places where one needs to go when in NYC.
1,Yes I said the joke of my title when I was there. Yes it made me laugh...Anywho I always enjoy the Hard Rock and places like this. You know what your getting when you eat here. Music and atmosphere was allot of fun as well.
1,"Standard Hard Rock Cafe. Good food and good service you'd expect. Restaurant and menu very good, service friendly and attentive. Rock memorabilia here probably better then most. Recommend as a reliable restaurant but nothing out of the world."
1,30 Minutes waiting time and as every time - super service very good cocktails and delicious burger (original legendary burger) We‘ll be back next time :-)
1,"Coffee or drinks in bar really good. Souvenirs are a must. I love this place, so much when in twice."
1,"Arrived late and this restaurant was close to our hotel. Food was good, our server was incredible giving us numerous ideas on how to tackle NYC."
1,"Hard Rock cafe, beautiful building in a best The hard Rock cafe is more attractive for the outside visiters because such a beautiful place is that., best and tasty dishes, we all like the"
1,"Never my 1st choice, however after the hockey at the Gardens, and a few beers in, this was open so we went in. Really cannot complain at all. 4 Burgers all cooked well to order. Good fries, good service, decent beer and reasonable price."
1,It was not very crowded when we went for lunch and we were seated promptly. The service was quick and efficient and the food was good as expected. Nothing extraordinary.
1,"High quality service. Food was as expected - plain but reliable. Wonderful to look at the wealth of memorabilia around the restaurant, but uncomfortable at times due to the location of tables with diners seated."
1,Hard rock is standard usually from one city to another. Food was average but good. Great place but was super busy. Ask for a table n at the bar instead of waiting for some time for a table!
1,Good as usual. Great fajitas and salads. Friendly staff. The nicest Hard Rock in the heart of Times Square. Amazing memorabilia. Oreo cheesecake not to miss!
1,"While walking around Times Square and in the mood for some food, stop by the Hard Rock and have a good burger surrounded with music and memorabilia."
1,"Good choice of freshly cooked food plus fresh French toast, waffles or pancakes brought to your table. Selection of pastries too. Mimosa was a nice touch to set us up for the day."
1,Ate here with a school group. Waited a little while to be seated but were quickly served. We chose burgers and chicken fillet burgers. All were good and went down well. Staff efficient and friendly. Noisy and busy. Think choices good.
1,What dan I say it’s the hard rock and had to get my 31st different shooter! Great either brick drinks and a fabulous atmosphere. #loveallserveall
1,We tried the New York Strip which was beautifully cooked. The staff were friendly and very helpful. The decor was the usual memorabilia you expect at HRC. Good quality food and overall experience.
1,"Great place with a lot of memorabilia, Always seem to be crowded at Dinner time. Great food & drinks. Good portions."
1,While in NYC we stopped by the Hard Rock Cafe Gift store in Times Square. The employees were very helpful and nice. Got a cool shirt for my collection of Hard Rock t shirts.
1,"This cafe is smack bang in the middle of Times Square and you know that your going to get great food. They did not disappoint, great atmosphere and a legendary burger to die for!"
1,We have been to many Hard Rock Cafes but this is the biggest by far. We had a nice meal and I was surprised by how good it was. The server was very good also.
1,Enjoyed lunch at Hard Rock Cafe. Good food and fast service. This location has an excellent store for shopping.
1,What?! It's The HardRock! Get a burger and onion rings (done perfectly). Delish! Friendly wait staff - good tunes. Cool Rock - n - Roll Artifacts. Plan at least one meal here.
1,"Great lunch, great food, service was great. Atmosphere was also perfect, this is a must visit when in New York!"
1,"But lots of fun! We've been here before, so knew what to expect. service very good, considering staff shortages everywhere. Hamburgers and onion rings great!."
1,As any HR you expect to be overwhelmed by the memorabilia throughout. Had a bloody Mary at the bar. Good quick service. Drink wasn't bad t start the day. The music wasn't so loud you couldn't talk. It was just right
1,"Late dinner at the Hard Rock Cafe was great. Nice music, not too crowded, fast and good service, huge portions, tasty food. We ordered Thai spicy shrimps, BBQ ribs, onion rings it was delicious."
1,"It may sound noisy initially but if you find a good place at the bar, the noises fade away and you can enjoy the company of your partner. One of the best Hard Rock Cafes one finds anywhere in the world."
1,"Nice Decor! Share a platter: crumbed chicken, spring rolls, rosti's, chicken wings, brochetta's, onion rings. Great music, visit the shop."
1,This is a great hard rock I've never been to a bad 1 in any country but this is 1 of my favourites so far great surroundings and the staff are brilliant
1,"Had dinner in here with my daughter and granddaughter. Was very very busy but the food was fast, perfectly cooked and plentiful. The drinks also very tasty."
1,"you have to go in time to get a table but it's worth it, the special hamburger is delicious as well as the tortillas with dissolved cheese and a very good attention"
1,"Quick, easy, friendly service. Easy place to get a traditional American breakfast if staying in the Times Square area"
1,Really friendly staff. Food was well nice and place was nice and clean. Hardly any wait time (we did book a table) very good value for money.
1,Excellent place to visit. Fun atmosphere. Food good and waiter superb giving us chance to chose our own music. Recommend the vegetable fajitas
1,We attended the first Hard Rock Cafe gala for Teachrock and Steven Van Zandt. Great staff! We had an excellent time at our VIP table and it was a wonderful night to remember.
1,We had a great time with Cocktail and dinner. The crowd was electrifying and the wait was very short as we booked table. It was very satisfying and worth visiting again.
1,"Great service, food good, fair to high pricing. No hosts on arrival, but great once we got in. Would recommend for family fun night out"
1,Everywhere we travel we go to a Hard Rock! Good food with friendly staff every time. We never waited for a table.
1,"Staff couldn’t do enough for us, food was delicious and also the cocktails. The restaurant was very clean and the atmosphere was amazing"
1,"Went here for my partners birthday, food was amazing, service fantastic and cocktails very good! Would definitely go back!"
1,I loved it. This is a very big place and took us 45 minutes to get a table. But it was worth it. Food was awesome.
1,I love the vibes in this place! The service was really good! The food is awesome! I loved the pulled pork sandwich and the orange and feta side salad! Totally recommend if you love rock n roll and good food!
1,"Food lush and at an affordable price. Had to wait 30 mins to be seated as it was busy but expected this. Loved the DJ and his music, put everyone in a happy mood. Very busy atmosphere and food still came out very quickly."
1,On a ten day trip to NY we went there for dinner for the last three days in the row. It was the best food and the prices were affordable. The environment was excellent.
1,Very nice and cool place to visit. Good food and excellent service. Also good music they are playing in there ! Feel good! Highly recommended.
1,Came here on our first night in New York. Had a great server when we got there. Had a switch out of server part way through enjoyed our first one better.
1,"And visiting the cafe in every city, a ritual. Hustle bustle of broadway, snowfall, and a birthday celebration at HRC, sets your spirits up. The staff was amazingly helpful. Foos as usual sumptuous."
1,"Excellent menu, eclectic atmosphere along with great location! I visited there with a bunch of friends and had a great time."
1,"Awesome atmosphere, great service. All the music stuff was great. The food and service were really great too."
1,My daughter and her friends took a limo into the city and would not have missed hanging out at HRC. They were even lucky enough to catch an awesome Hoobastank set! The Whiskey Bacon Jam Sliders are killer!
1,"Fast service and pleasant atmosphere, you would never believe that you are in Times Square, Food was served fast and to our liking,"
1,We had an hour before a show and our waitress was very helpful and efficient. The food was fast and delicious.
1,"As any Hard Rock Cafe, the food is decent and the beer is cold. Service was pleasant. But the reason for our visit was to see the really cool Beatles and John Lennon memorabilia. A must see for any fan."
1,I have already been to Hard Rock in London but this one is FANTASTIC. The food was very good and the people very nice. The place is huge. I loved it.
1,"This is the best Hard Rock I have been to in my travels. Perfect location, very good staff, the good was amazing. Such fun drinks to order, with or without alcohol."
1,My wife and I stopped in for some lunch and drinks and Raffe the bartender took great care of us. Our drinks were made just right and my burger was cooked to perfection. Bravo HRC NYC for your great service.
1,"What's to say, it's a Hard Rock Cafe. Oh, wait, in NYC on Broadway. Had a blast. The ""Adult"" beverages were nice and COLD! Food was pretty good too. Loved the atmosphere. Staff was really friendly."
1,We stopped by late one night. We were taken right to at table. The food was very good and priced pretty good. More for the environment. Located right in Time Square.
1,"Went to the Hard Rock Cafe after a wander round Times Square. Fabulous memorabilia on show, great food, live music and exceptional service."
1,"As always, another HR venue to tick off, glass collection building. Great food, great atmosphere great service great location in Time sq."
1,We didn’t have to wait for a table. Our service was pretty good and food was great! Best burger I’ve ever had! Great atmosphere too!
1,A very busy restaurant so making a booking is essential. Service relatively quick considering the number of guest.
